x,f,f_prime,mean,mean_prime,lower,lower_prime,upper,upper_prime
0.00010001,-0.006558076,-65.52079,0.94445944,-55.327003,-5.0909696,-68.22278,6.9798884,-42.431232
0.00020002,-0.013105482,-65.41429,0.93892574,-55.347824,-5.096822,-68.13115,6.9746733,-42.5645
0.00030003,-0.019642254,-65.30817,0.9333892,-55.36795,-5.1026773,-68.040085,6.9694557,-42.69582
0.00040004,-0.026168434,-65.202415,0.92785114,-55.387947,-5.108528,-67.948135,6.9642305,-42.827755
0.00050005,-0.032684054,-65.097046,0.92231005,-55.40738,-5.1143823,-67.85647,6.959002,-42.958286
0.00060006,-0.039189156,-64.99204,0.91676795,-55.42644,-5.1202335,-67.76459,6.9537697,-43.088295
0.00070007,-0.045683775,-64.887405,0.91122425,-55.445385,-5.1260815,-67.67173,6.94853,-43.21904
0.00080008,-0.05216795,-64.783134,0.90567833,-55.463745,-5.131931,-67.57922,6.9432874,-43.348267
0.00090009003,-0.05864171,-64.67923,0.90013057,-55.481876,-5.137777,-67.48613,6.9380383,-43.47762
0.0010001,-0.0651051,-64.57569,0.8945805,-55.49954,-5.143625,-67.39308,6.9327855,-43.60599
0.00110011,-0.071558155,-64.4725,0.8890291,-55.51673,-5.1494713,-67.30008,6.9275293,-43.733383
0.00120012,-0.0780009,-64.369675,0.88347614,-55.533794,-5.1553135,-67.20615,6.922266,-43.861443
0.00130013,-0.084433384,-64.267204,0.87792134,-55.550278,-5.1611567,-67.11265,6.917,-43.987907
0.00140014,-0.09085564,-64.165085,0.8723651,-55.566643,-5.166996,-67.01824,6.911726,-44.115047
0.0015001501,-0.097267695,-64.06331,0.8668067,-55.58242,-5.1728377,-66.92426,6.9064507,-44.240578
0.00160016,-0.10366959,-63.961887,0.8612474,-55.598076,-5.1786733,-66.829285,6.9011683,-44.366867
0.00170017,-0.11006136,-63.86081,0.8556861,-55.613033,-5.184512,-66.7352,6.8958845,-44.490868
0.0018001801,-0.116443045,-63.760075,0.8501239,-55.627735,-5.190347,-66.64053,6.890595,-44.61494
0.00190019,-0.12281467,-63.65968,0.8445597,-55.642216,-5.1961794,-66.54527,6.8852987,-44.739162
0.0020002,-0.12917626,-63.559624,0.8389943,-55.656113,-5.2020125,-66.45053,6.8800015,-44.861694
0.00210021,-0.13552788,-63.459908,0.83342683,-55.669895,-5.207842,-66.35486,6.874696,-44.984936
0.00220022,-0.14186953,-63.360523,0.8278588,-55.683075,-5.213671,-66.25975,6.869389,-45.1064
0.00230023,-0.14820126,-63.26147,0.8222894,-55.69613,-5.219496,-66.16368,6.8640747,-45.228573
0.00240024,-0.1545231,-63.162754,0.8167188,-55.70859,-5.225322,-66.06821,6.858759,-45.348976
0.00250025,-0.16083509,-63.06436,0.8111471,-55.720703,-5.231144,-65.972595,6.8534384,-45.468815
0.00260026,-0.16713724,-62.966293,0.80557305,-55.732605,-5.236965,-65.87639,6.848111,-45.58882
0.00270027,-0.17342961,-62.868553,0.79999876,-55.7439,-5.2427855,-65.78084,6.842783,-45.706963
0.00280028,-0.17971222,-62.771137,0.7944235,-55.755173,-5.2485995,-65.68395,6.8374467,-45.826393
0.00290029,-0.1859851,-62.674038,0.7888471,-55.765747,-5.2544155,-65.5882,6.8321095,-45.94329
0.0030003001,-0.1922483,-62.57726,0.7832695,-55.775974,-5.2602296,-65.49232,6.8267684,-46.05963
0.00310031,-0.19850183,-62.480793,0.77769095,-55.786068,-5.2660384,-65.395485,6.82142,-46.176647
0.00320032,-0.20474571,-62.384644,0.7721109,-55.795593,-5.2718472,-65.2994,6.816069,-46.291782
0.0033003301,-0.21098001,-62.28881,0.7665301,-55.80488,-5.2776537,-65.20281,6.810714,-46.406944
0.00340034,-0.21720473,-62.193283,0.76094896,-55.813663,-5.2834578,-65.10662,6.805356,-46.520706
0.00350035,-0.22341992,-62.09807,0.75536674,-55.822,-5.2892604,-65.01083,6.799994,-46.633163
0.0036003601,-0.2296256,-62.00316,0.74978364,-55.830315,-5.2950573,-64.91357,6.7946243,-46.74706
0.00370037,-0.2358218,-61.908554,0.74419916,-55.837944,-5.3008556,-64.81777,6.789254,-46.858116
0.00380038,-0.24200855,-61.81425,0.7386144,-55.845436,-5.3066483,-64.72094,6.7838774,-46.969933
0.0039003901,-0.2481859,-61.720253,0.7330292,-55.852333,-5.312441,-64.62515,6.7784996,-47.079517
0.0040004,-0.25435385,-61.626553,0.7274434,-55.858887,-5.318231,-64.529305,6.7731175,-47.18847
0.0041004103,-0.26051244,-61.53315,0.7218565,-55.8653,-5.3240156,-64.43258,6.767729,-47.298016
0.00420042,-0.26666173,-61.440044,0.7162695,-55.87102,-5.3298016,-64.3374,6.7623405,-47.40464
0.00430043,-0.2728017,-61.347233,0.7106806,-55.876743,-5.335582,-64.24074,6.7569427,-47.51275
0.00440044,-0.2789324,-61.25471,0.70509243,-55.881752,-5.3413615,-64.145775,6.7515464,-47.61773
0.00450045,-0.28505388,-61.162483,0.69950324,-55.88663,-5.347136,-64.04983,6.746143,-47.72343
0.00460046,-0.29116613,-61.070545,0.6939142,-55.890923,-5.35291,-63.955112,6.740738,-47.826733
0.0047004703,-0.29726923,-60.978893,0.6883247,-55.89485,-5.3586807,-63.860577,6.7353306,-47.929127
0.00480048,-0.30336314,-60.887527,0.68273425,-55.89866,-5.3644466,-63.76512,6.7299156,-48.032196
0.00490049,-0.30944794,-60.796444,0.67714345,-55.901894,-5.370212,-63.670986,6.724499,-48.1328
0.0050005,-0.31552365,-60.705647,0.6715522,-55.90499,-5.375972,-63.57592,6.719076,-48.234062
0.00510051,-0.3215903,-60.615128,0.6659614,-55.907387,-5.381732,-63.48288,6.7136545,-48.331894
0.00520052,-0.3276479,-60.524887,0.6603704,-55.90954,-5.3874874,-63.389484,6.708228,-48.429592
0.00530053,-0.33369648,-60.434925,0.6547785,-55.91144,-5.3932385,-63.295864,6.7027955,-48.52702
0.00540054,-0.3397361,-60.345238,0.6491872,-55.912766,-5.3989882,-63.203842,6.6973624,-48.62169
0.00550055,-0.34576675,-60.25583,0.6435942,-55.913975,-5.4047337,-63.110905,6.691922,-48.717045
0.00560056,-0.3517885,-60.166687,0.63800275,-55.914585,-5.4104767,-63.019608,6.6864824,-48.809563
0.00570057,-0.35780132,-60.07782,0.6324103,-55.915066,-5.416215,-62.927498,6.681036,-48.902634
0.00580058,-0.36380526,-59.989223,0.6268188,-55.914948,-5.4219513,-62.837166,6.6755886,-48.99273
0.00590059,-0.36980036,-59.900894,0.6212271,-55.914482,-5.427684,-62.747337,6.6701384,-49.081627
0.0060006003,-0.37578663,-59.812828,0.6156348,-55.91379,-5.4334126,-62.65736,6.6646824,-49.170223
0.00610061,-0.38176414,-59.725033,0.6100428,-55.912514,-5.4391403,-62.569416,6.6592264,-49.25561
0.00620062,-0.38773286,-59.637497,0.6044506,-55.9112,-5.4448605,-62.479977,6.653762,-49.342426
0.00630063,-0.39369282,-59.550224,0.5988595,-55.909206,-5.4505806,-62.39335,6.648299,-49.425064
0.00640064,-0.3996441,-59.46321,0.59326863,-55.906837,-5.456296,-62.307438,6.6428337,-49.506237
0.00650065,-0.4055867,-59.376457,0.587677,-55.904343,-5.4620066,-62.220856,6.6373606,-49.58783
0.0066006603,-0.4115206,-59.289963,0.58208686,-55.901154,-5.467716,-62.13726,6.6318903,-49.665047
0.00670067,-0.41744587,-59.203724,0.5764951,-55.897972,-5.4734197,-62.05233,6.62641,-49.743614
0.00680068,-0.42336252,-59.11774,0.57090557,-55.894066,-5.479121,-61.970596,6.6209326,-49.817535
0.00690069,-0.4292706,-59.03201,0.56531525,-55.890152,-5.4848166,-61.88746,6.615447,-49.892845
0.0070007,-0.4351701,-58.946533,0.5597265,-55.88554,-5.490511,-61.807716,6.6099634,-49.963364
0.00710071,-0.4410611,-58.861305,0.5541383,-55.88056,-5.496201,-61.729084,6.6044774,-50.03204
0.0072007203,-0.44694355,-58.776325,0.5485486,-55.87549,-5.501886,-61.65001,6.5989833,-50.100967
0.00730073,-0.45281756,-58.691593,0.5429614,-55.869797,-5.5075674,-61.573727,6.5934906,-50.165867
0.00740074,-0.45868307,-58.60711,0.5373736,-55.86399,-5.513244,-61.49707,6.587991,-50.23091
0.00750075,-0.46454015,-58.522873,0.53178746,-55.8576,-5.5189176,-61.423428,6.5824924,-50.291775
0.00760076,-0.47038883,-58.438877,0.5262023,-55.850723,-5.5245876,-61.352043,6.576992,-50.349403
0.00770077,-0.4762291,-58.35512,0.52061623,-55.84385,-5.530252,-61.279476,6.571484,-50.408222
0.0078007802,-0.48206103,-58.27161,0.5150317,-55.83629,-5.535915,-61.211166,6.5659785,-50.46141
0.00790079,-0.48788458,-58.18834,0.50944734,-55.82858,-5.5415707,-61.14263,6.560466,-50.514526
0.0080008,-0.49369985,-58.105305,0.503865,-55.82029,-5.547224,-61.077553,6.5549545,-50.563026
0.00810081,-0.49950683,-58.02251,0.49828327,-55.811745,-5.5528717,-61.01324,6.5494385,-50.61025
0.008200821,-0.5053055,-57.93995,0.49270156,-55.80287,-5.558516,-60.950794,6.543919,-50.65495
0.00830083,-0.511096,-57.857624,0.48712113,-55.793533,-5.564157,-60.89113,6.538399,-50.69594
0.00840084,-0.51687825,-57.77553,0.4815408,-55.784054,-5.5697913,-60.831497,6.5328727,-50.73661
0.00850085,-0.52265227,-57.693672,0.47596326,-55.773872,-5.5754237,-60.77679,6.52735,-50.770954
0.00860086,-0.5284181,-57.612045,0.47038636,-55.763443,-5.5810494,-60.723255,6.5218225,-50.80363
0.00870087,-0.5341758,-57.530643,0.46480936,-55.752785,-5.5866714,-60.670677,6.51629,-50.834892
0.00880088,-0.5399254,-57.449474,0.45923504,-55.741547,-5.5922894,-60.622467,6.51076,-50.860626
0.00890089,-0.5456669,-57.36853,0.45365927,-55.7302,-5.5979033,-60.574493,6.5052214,-50.88591
0.0090009,-0.55140024,-57.287815,0.44808692,-55.718254,-5.603512,-60.53077,6.4996853,-50.90574
0.00910091,-0.55712557,-57.20732,0.4425143,-55.706165,-5.6091146,-60.48748,6.4941435,-50.92485
0.00920092,-0.5628429,-57.127052,0.43694487,-55.693398,-5.6147146,-60.449677,6.4886045,-50.93712
0.00930093,-0.56855214,-57.04701,0.43137622,-55.680378,-5.620309,-60.41335,6.483062,-50.947407
0.0094009405,-0.57425344,-56.967182,0.42580682,-55.66715,-5.6258993,-60.378483,6.4775133,-50.955814
0.00950095,-0.57994676,-56.88758,0.42024094,-55.653427,-5.631484,-60.34716,6.471966,-50.959694
0.00960096,-0.5856321,-56.808193,0.41467485,-55.63947,-5.6370635,-60.317417,6.466413,-50.96152
0.00970097,-0.5913095,-56.729027,0.409112,-55.62493,-5.642639,-60.292404,6.460863,-50.95746
