x,f,mean,lower,upper
0.00010001,-0.006558076,-1.1032709,-2.8434048,0.6368631
0.00020002,-0.013105482,-1.1055223,-2.8451934,0.6341487
0.00030003,-0.019642254,-1.107776,-2.8469834,0.63143146
0.00040004,-0.026168434,-1.1100291,-2.848774,0.6287159
0.00050005,-0.032684054,-1.1122824,-2.8505664,0.6260015
0.00060006,-0.039189156,-1.1145371,-2.8523602,0.6232859
0.00070007,-0.045683775,-1.1167914,-2.8541532,0.62057054
0.00080008,-0.05216795,-1.1190449,-2.8559475,0.6178576
0.00090009003,-0.05864171,-1.1212989,-2.8577414,0.61514366
0.0010001,-0.0651051,-1.1235541,-2.8595386,0.6124302
0.00110011,-0.071558155,-1.1258096,-2.8613358,0.60971665
0.00120012,-0.0780009,-1.1280609,-2.8631277,0.60700583
0.00130013,-0.084433384,-1.1303178,-2.8649273,0.60429156
0.00140014,-0.09085564,-1.1325728,-2.866724,0.6015785
0.0015001501,-0.097267695,-1.1348296,-2.8685284,0.5988691
0.00160016,-0.10366959,-1.137086,-2.8703275,0.5961555
0.00170017,-0.11006136,-1.1393412,-2.8721309,0.5934485
0.0018001801,-0.116443045,-1.1415976,-2.8739333,0.59073794
0.00190019,-0.12281467,-1.1438538,-2.875738,0.58803034
0.0020002,-0.12917626,-1.146114,-2.8775425,0.58531463
0.00210021,-0.13552788,-1.1483675,-2.879344,0.58260894
0.00220022,-0.14186953,-1.1506237,-2.8811498,0.5799025
0.00230023,-0.14820126,-1.1528825,-2.8829572,0.5771923
0.00240024,-0.1545231,-1.1551396,-2.8847628,0.57448363
0.00250025,-0.16083509,-1.1573986,-2.8865747,0.57177746
0.00260026,-0.16713724,-1.1596566,-2.8883843,0.56907105
0.00270027,-0.17342961,-1.1619166,-2.8901956,0.5663624
0.00280028,-0.17971222,-1.1641744,-2.8920069,0.5636581
0.00290029,-0.1859851,-1.1664346,-2.8938189,0.5609497
0.0030003001,-0.1922483,-1.1686937,-2.8956318,0.5582446
0.00310031,-0.19850183,-1.1709534,-2.897448,0.5555413
0.00320032,-0.20474571,-1.173211,-2.8992565,0.5528345
0.0033003301,-0.21098001,-1.1754695,-2.9010725,0.55013347
0.00340034,-0.21720473,-1.1777316,-2.9028893,0.54742587
0.00350035,-0.22341992,-1.1799914,-2.904707,0.54472435
0.0036003601,-0.2296256,-1.1822535,-2.9065285,0.5420214
0.00370037,-0.2358218,-1.1845137,-2.9083467,0.5393193
0.00380038,-0.24200855,-1.186776,-2.910167,0.5366149
0.0039003901,-0.2481859,-1.189037,-2.9119868,0.5339128
0.0040004,-0.25435385,-1.1912972,-2.913809,0.5312147
0.0041004103,-0.26051244,-1.1935595,-2.9156322,0.5285132
0.00420042,-0.26666173,-1.1958188,-2.9174514,0.5258137
0.00430043,-0.2728017,-1.1980804,-2.9192758,0.5231149
0.00440044,-0.2789324,-1.200343,-2.9210997,0.5204135
0.00450045,-0.28505388,-1.2026061,-2.9229257,0.51771355
0.00460046,-0.29116613,-1.2048689,-2.9247546,0.5150167
0.0047004703,-0.29726923,-1.2071317,-2.9265814,0.512318
0.00480048,-0.30336314,-1.2093953,-2.9284084,0.5096178
0.00490049,-0.30944794,-1.2116579,-2.930237,0.5069213
0.0050005,-0.31552365,-1.2139229,-2.9320693,0.50422347
0.00510051,-0.3215903,-1.2161847,-2.933895,0.50152576
0.00520052,-0.3276479,-1.218448,-2.935729,0.49883282
0.00530053,-0.33369648,-1.2207125,-2.9375606,0.4961356
0.00540054,-0.3397361,-1.2229775,-2.9393935,0.49343836
0.00550055,-0.34576675,-1.2252418,-2.9412293,0.49074566
0.00560056,-0.3517885,-1.227506,-2.9430637,0.48805177
0.00570057,-0.35780132,-1.2297717,-2.9448998,0.48535633
0.00580058,-0.36380526,-1.2320372,-2.946737,0.48266268
0.00590059,-0.36980036,-1.2343022,-2.9485755,0.47997105
0.0060006003,-0.37578663,-1.236569,-2.9504132,0.47727525
0.00610061,-0.38176414,-1.2388359,-2.9522543,0.47458255
0.00620062,-0.38773286,-1.2410964,-2.9540892,0.4718963
0.00630063,-0.39369282,-1.2433649,-2.9559293,0.46919954
0.00640064,-0.3996441,-1.2456316,-2.9577727,0.46650958
0.00650065,-0.4055867,-1.247897,-2.9596133,0.46381915
0.0066006603,-0.4115206,-1.2501639,-2.96146,0.46113217
0.00670067,-0.41744587,-1.2524318,-2.9633036,0.45844018
0.00680068,-0.42336252,-1.2546986,-2.9651484,0.45575118
0.00690069,-0.4292706,-1.256965,-2.9669943,0.45306432
0.0070007,-0.4351701,-1.2592348,-2.968842,0.45037246
0.00710071,-0.4410611,-1.2614983,-2.970683,0.44768643
0.0072007203,-0.44694355,-1.2637664,-2.9725318,0.44499886
0.00730073,-0.45281756,-1.2660342,-2.9743795,0.44231117
0.00740074,-0.45868307,-1.268303,-2.9762309,0.4396248
0.00750075,-0.46454015,-1.2705706,-2.9780812,0.43694007
0.00760076,-0.47038883,-1.2728406,-2.9799335,0.43425226
0.00770077,-0.4762291,-1.2751099,-2.9817865,0.43156672
0.0078007802,-0.48206103,-1.2773784,-2.9836397,0.42888296
0.00790079,-0.48788458,-1.2796487,-2.9854946,0.4261973
0.0080008,-0.49369985,-1.281917,-2.987348,0.42351425
0.00810081,-0.49950683,-1.2841839,-2.9892,0.4208324
0.008200821,-0.5053055,-1.2864541,-2.991057,0.41814864
0.00830083,-0.511096,-1.2887241,-2.992914,0.41546583
0.00840084,-0.51687825,-1.2909945,-2.9947715,0.4127823
0.00850085,-0.52265227,-1.2932628,-2.9966316,0.41010582
0.00860086,-0.5284181,-1.2955352,-2.9984908,0.40742028
0.00870087,-0.5341758,-1.2978042,-3.0003514,0.40474296
0.00880088,-0.5399254,-1.3000754,-3.0022135,0.40206277
0.00890089,-0.5456669,-1.3023471,-3.004075,0.39938104
0.0090009,-0.55140024,-1.3046178,-3.0059395,0.39670396
0.00910091,-0.55712557,-1.3068904,-3.0078044,0.39402378
0.00920092,-0.5628429,-1.3091596,-3.0096633,0.39134407
0.00930093,-0.56855214,-1.3114303,-3.0115285,0.38866782
0.0094009405,-0.57425344,-1.3137022,-3.0133924,0.38598812
0.00950095,-0.57994676,-1.3159741,-3.0152597,0.38331163
0.00960096,-0.5856321,-1.3182462,-3.017129,0.38063645
0.00970097,-0.5913095,-1.3205179,-3.0189981,0.37796223
0.00980098,-0.596979,-1.3227915,-3.0208662,0.37528324
0.00990099,-0.6026407,-1.3250624,-3.0227356,0.3726107
0.010001,-0.6082944,-1.3273355,-3.0246081,0.36993706
0.01010101,-0.61394036,-1.3296076,-3.0264745,0.36725914
0.01020102,-0.6195785,-1.3318788,-3.028346,0.36458838
0.01030103,-0.6252088,-1.3341516,-3.0302172,0.36191404
0.01040104,-0.6308313,-1.3364266,-3.032093,0.35923982
0.01050105,-0.6364461,-1.3387004,-3.033968,0.35656726
0.01060106,-0.6420531,-1.340973,-3.0358446,0.35389853
0.010701071,-0.64765245,-1.3432468,-3.0377207,0.35122693
0.01080108,-0.6532441,-1.3455218,-3.039597,0.34855342
0.01090109,-0.658828,-1.3477968,-3.0414755,0.34588194
0.0110011,-0.66440433,-1.3500687,-3.0433545,0.34321702
0.01110111,-0.66997296,-1.3523406,-3.0452287,0.34054756
0.01120112,-0.675534,-1.3546163,-3.0471077,0.33787513
0.01130113,-0.6810875,-1.3568891,-3.0489883,0.33521008
0.01140114,-0.68663335,-1.3591655,-3.0508714,0.33254027
0.01150115,-0.6921717,-1.3614401,-3.0527534,0.32987332
0.01160116,-0.69770247,-1.363715,-3.054637,0.32720697
0.01170117,-0.7032258,-1.3659905,-3.0565205,0.32453942
0.01180118,-0.70874155,-1.3682672,-3.0584073,0.32187295
0.0119011905,-0.71424985,-1.3705417,-3.0602925,0.3192091
0.012001201,-0.7197507,-1.3728176,-3.0621767,0.31654143
0.01210121,-0.72524416,-1.3750914,-3.0640614,0.31387854
