x,f,mean,lower,upper
0.00010001,-0.006558076,-0.8965324,-2.1397638,0.346699
0.00020002,-0.013105482,-0.8991531,-2.141931,0.34362495
0.00030003,-0.019642254,-0.901775,-2.1441033,0.34055328
0.00040004,-0.026168434,-0.90439045,-2.1462626,0.33748174
0.00050005,-0.032684054,-0.9070116,-2.148436,0.3344128
0.00060006,-0.039189156,-0.90963113,-2.1506069,0.3313446
0.00070007,-0.045683775,-0.912254,-2.1527786,0.32827055
0.00080008,-0.05216795,-0.91487277,-2.1549544,0.3252089
0.00090009003,-0.05864171,-0.9174956,-2.1571302,0.32213914
0.0010001,-0.0651051,-0.920117,-2.1593056,0.3190714
0.00110011,-0.071558155,-0.92273676,-2.1614819,0.31600833
0.00120012,-0.0780009,-0.9253546,-2.16365,0.31294084
0.00130013,-0.084433384,-0.9279784,-2.1658292,0.3098725
0.00140014,-0.09085564,-0.9305986,-2.1680102,0.30681312
0.0015001501,-0.097267695,-0.93322194,-2.1701896,0.30374575
0.00160016,-0.10366959,-0.93584406,-2.17237,0.30068183
0.00170017,-0.11006136,-0.9384681,-2.1745543,0.29761815
0.0018001801,-0.116443045,-0.9410902,-2.1767383,0.2945577
0.00190019,-0.12281467,-0.943715,-2.1789222,0.2914921
0.0020002,-0.12917626,-0.94633687,-2.1811054,0.28843164
0.00210021,-0.13552788,-0.9489573,-2.1832833,0.28536856
0.00220022,-0.14186953,-0.9515811,-2.185472,0.28230965
0.00230023,-0.14820126,-0.95420325,-2.1876574,0.27925074
0.00240024,-0.1545231,-0.95682776,-2.189848,0.27619243
0.00250025,-0.16083509,-0.9594542,-2.192038,0.2731297
0.00260026,-0.16713724,-0.9620763,-2.1942291,0.2700765
0.00270027,-0.17342961,-0.96470106,-2.1964188,0.26701677
0.00280028,-0.17971222,-0.96732676,-2.1986156,0.26396203
0.00290029,-0.1859851,-0.9699434,-2.2007968,0.26091003
0.0030003001,-0.1922483,-0.9725729,-2.20299,0.2578442
0.00310031,-0.19850183,-0.9751979,-2.2051854,0.2547897
0.00320032,-0.20474571,-0.97782505,-2.2073839,0.25173378
0.0033003301,-0.21098001,-0.98044765,-2.209576,0.24868059
0.00340034,-0.21720473,-0.98307526,-2.211779,0.24562848
0.00350035,-0.22341992,-0.98570096,-2.2139769,0.24257505
0.0036003601,-0.2296256,-0.9883274,-2.2161763,0.2395215
0.00370037,-0.2358218,-0.9909543,-2.2183783,0.23646975
0.00380038,-0.24200855,-0.9935814,-2.2205803,0.23341751
0.0039003901,-0.2481859,-0.9962009,-2.222773,0.23037124
0.0040004,-0.25435385,-0.9988297,-2.2249749,0.22731543
0.0041004103,-0.26051244,-1.0014583,-2.2271833,0.22426677
0.00420042,-0.26666173,-1.0040854,-2.2293873,0.22121632
0.00430043,-0.2728017,-1.0067118,-2.231591,0.2181673
0.00440044,-0.2789324,-1.0093392,-2.2337995,0.21512091
0.00450045,-0.28505388,-1.0119647,-2.2360058,0.21207643
0.00460046,-0.29116613,-1.014593,-2.2382164,0.20903039
0.0047004703,-0.29726923,-1.0172187,-2.2404165,0.20597899
0.00480048,-0.30336314,-1.0198437,-2.2426267,0.20293915
0.00490049,-0.30944794,-1.0224735,-2.2448375,0.19989061
0.0050005,-0.31552365,-1.0251011,-2.2470498,0.1968478
0.00510051,-0.3215903,-1.0277299,-2.2492642,0.1938045
0.00520052,-0.3276479,-1.0303589,-2.2514772,0.1907593
0.00530053,-0.33369648,-1.0329896,-2.2536938,0.18771458
0.00540054,-0.3397361,-1.0356175,-2.2559123,0.18467724
0.00550055,-0.34576675,-1.0382477,-2.258125,0.18162966
0.00560056,-0.3517885,-1.0408717,-2.2603364,0.1785928
0.00570057,-0.35780132,-1.0435032,-2.2625515,0.17554522
0.00580058,-0.36380526,-1.0461305,-2.2647696,0.1725086
0.00590059,-0.36980036,-1.0487615,-2.2669935,0.16947067
0.0060006003,-0.37578663,-1.0513917,-2.269215,0.16643178
0.00610061,-0.38176414,-1.0540212,-2.2714343,0.16339183
0.00620062,-0.38773286,-1.0566517,-2.2736583,0.16035473
0.00630063,-0.39369282,-1.0592831,-2.275882,0.15731573
0.00640064,-0.3996441,-1.0619076,-2.2780964,0.15428114
0.00650065,-0.4055867,-1.0645376,-2.2803218,0.15124655
0.0066006603,-0.4115206,-1.06717,-2.2825494,0.14820921
0.00670067,-0.41744587,-1.0697998,-2.2847757,0.14517617
0.00680068,-0.42336252,-1.072431,-2.287004,0.14214218
0.00690069,-0.4292706,-1.0750629,-2.2892323,0.13910663
0.0070007,-0.4351701,-1.0776926,-2.2914648,0.13607943
0.00710071,-0.4410611,-1.080326,-2.293694,0.1330421
0.0072007203,-0.44694355,-1.0829567,-2.2959247,0.13001132
0.00730073,-0.45281756,-1.0855824,-2.2981477,0.12698305
0.00740074,-0.45868307,-1.0882148,-2.3003798,0.12395024
0.00750075,-0.46454015,-1.0908476,-2.3026137,0.12091839
0.00760076,-0.47038883,-1.0934764,-2.3048465,0.117893696
0.00770077,-0.4762291,-1.0961109,-2.307085,0.11486304
0.0078007802,-0.48206103,-1.098744,-2.3093219,0.11183381
0.00790079,-0.48788458,-1.1013757,-2.311558,0.10880661
0.0080008,-0.49369985,-1.1040093,-2.313796,0.10577738
0.00810081,-0.49950683,-1.1066357,-2.3160272,0.102755904
0.008200821,-0.5053055,-1.1092702,-2.3182669,0.09972632
0.00830083,-0.511096,-1.1118995,-2.3205056,0.09670651
0.00840084,-0.51687825,-1.114535,-2.322748,0.093678
0.00850085,-0.52265227,-1.1171681,-2.324991,0.09065485
0.00860086,-0.5284181,-1.1197993,-2.3272314,0.087632775
0.00870087,-0.5341758,-1.1224333,-2.3294775,0.08461094
0.00880088,-0.5399254,-1.1250683,-2.3317206,0.08158398
0.00890089,-0.5456669,-1.1276985,-2.3339643,0.07856715
0.0090009,-0.55140024,-1.130328,-2.3362055,0.075549364
0.00910091,-0.55712557,-1.1329638,-2.3384504,0.07252288
0.00920092,-0.5628429,-1.1355962,-2.3406982,0.06950605
0.00930093,-0.56855214,-1.1382307,-2.3429482,0.066486835
0.0094009405,-0.57425344,-1.1408652,-2.3451996,0.06346905
0.00950095,-0.57994676,-1.1434976,-2.3474486,0.060453415
0.00960096,-0.5856321,-1.1461328,-2.349697,0.05743146
0.00970097,-0.5913095,-1.1487669,-2.3519526,0.054418683
0.00980098,-0.596979,-1.1514014,-2.3542056,0.051402807
0.00990099,-0.6026407,-1.154029,-2.3564496,0.04839146
0.010001,-0.6082944,-1.1566647,-2.3587036,0.045374155
0.01010101,-0.61394036,-1.1592976,-2.3609571,0.042361975
0.01020102,-0.6195785,-1.1619335,-2.3632145,0.03934741
0.01030103,-0.6252088,-1.1645695,-2.36547,0.036331058
0.01040104,-0.6308313,-1.1672026,-2.3677268,0.0333215
0.01050105,-0.6364461,-1.1698376,-2.3699865,0.030311465
0.01060106,-0.6420531,-1.172474,-2.3722472,0.027299166
0.010701071,-0.64765245,-1.1751012,-2.3744926,0.024290442
0.01080108,-0.6532441,-1.1777395,-2.376758,0.021279097
0.01090109,-0.658828,-1.1803738,-2.3790193,0.018271685
0.0110011,-0.66440433,-1.1830112,-2.3812795,0.015257239
0.01110111,-0.66997296,-1.1856433,-2.3835447,0.012258053
0.01120112,-0.675534,-1.1882809,-2.3858097,0.00924778
0.01130113,-0.6810875,-1.1909167,-2.3880725,0.006239295
0.01140114,-0.68663335,-1.1935517,-2.3903396,0.0032362938
0.01150115,-0.6921717,-1.1961855,-2.3926044,0.00023341179
0.01160116,-0.69770247,-1.1988233,-2.3948722,-0.0027743578
0.01170117,-0.7032258,-1.2014524,-2.397129,-0.0057758093
0.01180118,-0.70874155,-1.2040879,-2.3993983,-0.008777499
0.0119011905,-0.71424985,-1.2067248,-2.401667,-0.011782289
0.012001201,-0.7197507,-1.20936,-2.4039385,-0.014781475
0.01210121,-0.72524416,-1.2119972,-2.4062085,-0.017785907
0.01220122,-0.7307301,-1.2146336,-2.408479,-0.020788193
0.01230123,-0.73620874,-1.2172686,-2.410752,-0.023785114
0.01240124,-0.74167997,-1.219905,-2.4130273,-0.026782751
0.01250125,-0.7471438,-1.2225364,-2.4152894,-0.029783487
0.01260126,-0.7526004,-1.2251712,-2.4175644,-0.032778025
0.01270127,-0.75804955,-1.2278105,-2.4198413,-0.035779715
0.01280128,-0.76349145,-1.2304457,-2.4221158,-0.0387758
0.01290129,-0.7689261,-1.2330815,-2.4243944,-0.04176855
0.0130013,-0.77435344,-1.2357177,-2.42667,-0.044765115
0.0131013105,-0.77977353,-1.2383562,-2.4289508,-0.04776168
0.013201321,-0.7851864,-1.2409917,-2.431229,-0.050754428
0.01330133,-0.7905921,-1.2436291,-2.4335098,-0.05374837
0.01340134,-0.7959905,-1.2462608,-2.43578,-0.056741595
0.01350135,-0.8013818,-1.2488986,-2.438064,-0.059733033
0.01360136,-0.8067659,-1.2515329,-2.4403439,-0.06272185
0.01370137,-0.81214297,-1.254171,-2.4426284,-0.06571376
0.01380138,-0.8175128,-1.2568089,-2.444913,-0.06870484
0.01390139,-0.82287556,-1.2594448,-2.4471955,-0.07169402
0.0140014,-0.8282313,-1.2620803,-2.4494786,-0.074682
0.01410141,-0.8335799,-1.2647189,-2.4517636,-0.07767403
0.01420142,-0.8389214,-1.2673491,-2.4540436,-0.08065462
0.01430143,-0.844256,-1.2699891,-2.4563324,-0.08364582
0.0144014405,-0.8495835,-1.2726256,-2.458619,-0.08663201
0.014501451,-0.854904,-1.2752615,-2.4609077,-0.089615345
0.01460146,-0.8602176,-1.2778989,-2.4631982,-0.09259951
0.01470147,-0.8655241,-1.280538,-2.4654849,-0.09559107
0.01480148,-0.87082374,-1.2831713,-2.4677753,-0.09856725
0.01490149,-0.87611645,-1.2858111,-2.470068,-0.101554036
0.0150015,-0.8814022,-1.2884482,-2.4723644,-0.104531884
0.01510151,-0.8866811,-1.2910796,-2.4746456,-0.107513785
0.01520152,-0.8919531,-1.2937165,-2.47694,-0.11049318
0.01530153,-0.8972182,-1.2963539,-2.479233,-0.113474846
0.01540154,-0.90247655,-1.2989899,-2.4815288,-0.116451025
0.01550155,-0.907728,-1.3016278,-2.483823,-0.11943245
0.0156015605,-0.9129726,-1.3042661,-2.4861217,-0.122410536
0.01570157,-0.9182105,-1.3069028,-2.4884195,-0.12538612
0.01580158,-0.9234415,-1.3095413,-2.490715,-0.12836778
0.01590159,-0.9286658,-1.3121744,-2.4930058,-0.13134325
0.0160016,-0.93388337,-1.3148125,-2.4953046,-0.13432062
0.01610161,-0.9390942,-1.3174468,-2.4976034,-0.13729024
0.01620162,-0.9442983,-1.3200861,-2.4999075,-0.14026487
0.01630163,-0.9494957,-1.3227245,-2.5022092,-0.14323962
0.016401641,-0.9546864,-1.3253604,-2.5045097,-0.14621115
0.01650165,-0.95987046,-1.3279983,-2.5068119,-0.1491847
0.01660166,-0.96504784,-1.3306361,-2.5091164,-0.15215588
0.01670167,-0.9702186,-1.3332714,-2.5114214,-0.15512133
0.01680168,-0.9753827,-1.3359061,-2.513717,-0.15809536
0.01690169,-0.9805402,-1.338545,-2.516023,-0.16106701
0.0170017,-0.98569113,-1.3411802,-2.5183284,-0.16403198
0.01710171,-0.9908355,-1.3438178,-2.5206363,-0.16699934
0.01720172,-0.9959733,-1.3464564,-2.5229425,-0.16997015
0.01730173,-1.0011045,-1.3490916,-2.5252485,-0.17293465
0.01740174,-1.0062292,-1.35173,-2.5275602,-0.17589974
0.017501751,-1.0113474,-1.3543681,-2.5298705,-0.17886555
0.01760176,-1.0164591,-1.356999,-2.5321712,-0.18182683
0.01770177,-1.0215642,-1.3596374,-2.53448,-0.18479466
0.01780178,-1.026663,-1.3622764,-2.5367951,-0.18775761
0.01790179,-1.0317552,-1.3649112,-2.5391045,-0.19071805
0.0180018,-1.036841,-1.3675493,-2.5414183,-0.19368029
0.01810181,-1.0419204,-1.3701881,-2.5437331,-0.19664323
0.01820182,-1.0469935,-1.3728245,-2.5460484,-0.1996007
0.01830183,-1.05206,-1.3754617,-2.548361,-0.20256233
0.01840184,-1.0571202,-1.378101,-2.5506792,-0.20552278
0.01850185,-1.0621741,-1.3807293,-2.5529847,-0.20847404
0.01860186,-1.0672215,-1.3833691,-2.5553021,-0.21143603
0.01870187,-1.0722626,-1.3860065,-2.5576215,-0.21439159
0.018801881,-1.0772974,-1.3886467,-2.5599394,-0.21735418
0.01890189,-1.0823259,-1.3912779,-2.562256,-0.22029972
0.0190019,-1.0873482,-1.3939167,-2.564578,-0.2232554
0.01910191,-1.0923641,-1.3965551,-2.5668979,-0.22621238
0.01920192,-1.0973737,-1.3991894,-2.569215,-0.22916365
0.01930193,-1.102377,-1.4018239,-2.5715292,-0.2321186
0.01940194,-1.1073742,-1.4044605,-2.5738528,-0.23506832
