"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-33.0566647746012,-44503.0685109888,4029026625.12873
0.01,-11.7952877615506,-185.005628783171,9688.93510285897
0.505,10.0843847238862,72.2211734391648,52.867933716544
0.2575,-5.80496509351917,54.0538268659262,108.822495667865
0.13375,-11.3832272599797,33.6484014569698,253.141099924823
0.071875,-12.8907771572304,11.2304711843166,547.090810362531
0.0409375,-12.903754664978,-11.7110479721243,1059.57144223763
0.1028125,-12.2926299403558,25.9361103367967,334.946945231975
0.1528125,-10.6972762976182,38.5509813508165,204.357523944875
0.05640625,-12.9777692515358,-0.902215507563618,973.416818788396
0.11828125,-11.8896532157688,30.1184966478782,258.6532010497
0.02546875,-12.5184836593147,-46.1364067938013,2691.83779578725
0.08734375,-12.6602457007405,19.466113910864,437.482014895869
0.14328125,-11.054968097437,35.8893707264375,232.483644769653
0.16234375,-10.3279159462991,40.8256636313667,175.242184696458
0.048671875,-12.9559395411834,-5.64746689961451,1095.49209540004
0.064140625,-12.9789449034743,7.73946377194305,621.025625894199
0.095078125,-12.4864208348272,22.0272552057511,386.024327133009
0.110546875,-12.0992605379306,28.0594415194551,300.173868066166
0.126015625,-11.6430131712859,31.8863050138538,268.795435529803
1,50.6612993395918,89.4760732457943,24.4901086104637
