"a0","lc_a0","deriv_lc","second_deriv_lc"
0,0.00789071357693083,-65.4447530305819,965.448824998638
0.05,-2.39230809797608,-35.9827600161639,391.218962686314
0.1,-3.78273006037975,-21.7072593738975,218.767272471255
0.15,-4.60988020756994,-12.2717917088709,155.230919031332
0.2,-5.04888217150031,-5.58253802949089,119.339042688923
0.25,-5.19660391962606,-0.163916381546013,89.9387205080148
0.3,-5.08561704887892,4.41913738079966,75.4956149562195
0.35,-4.76904421363648,7.84484599472931,69.8226821611905
0.4,-4.29505764042044,11.1508152573019,61.0438079231802
0.45,-3.663596971225,14.2182972400641,56.9115092798253
0.5,-2.8824963134184,16.5753481374107,52.4735266071598
0.55,-1.99337154544306,19.3685901499626,45.2422360774943
0.6,-0.981800395759985,21.4036438541639,40.7462817445124
0.65,0.137915141986286,23.2383793435453,38.9949036187213
0.7,1.34147899142338,24.8756165606161,36.9443185650809
0.75,2.6378006544904,26.7632861129079,31.4685474383064
0.8,4.02272827333343,28.3994319539279,32.8499764824702
0.85,5.47700319924992,30.031205450187,27.746962430593
0.9,7.00634090762676,31.4226026877225,26.4913550774378
0.95,8.60590936867946,32.7975022667925,25.7148278781231
1,10.2720869988244,33.9924967711383,24.770088690974
