x,f,f_prime,mean,mean_prime,lower,lower_prime,upper,upper_prime
0.00010001,-4.457462,-9972.395,-310.562,-49808.97,-315.6063,-49813.93,-305.51773,-49804.008
0.00020002,-5.454774,-5938.4785,-315.51456,-49432.82,-320.55887,-49437.945,-310.47025,-49427.695
0.00030003,-6.048671,-4243.886,-320.4463,-49054.82,-325.49057,-49059.875,-315.402,-49049.766
0.00040004,-6.4730964,-3304.9407,-325.34473,-48665.527,-330.389,-48670.863,-320.30045,-48660.19
0.00050005,-6.8036203,-2707.226,-330.16965,-48281.766,-335.21396,-48287.164,-325.12534,-48276.367
0.00060006,-7.0743675,-2293.0112,-334.99023,-47891.168,-340.03452,-47896.543,-329.94595,-47885.793
0.00070007,-7.30369,-1988.9208,-339.7628,-47487.85,-344.80707,-47493.652,-334.7185,-47482.05
0.00080008,-7.5026007,-1756.1384,-344.4743,-47091.82,-349.51862,-47097.71,-339.43,-47085.93
0.00090009003,-7.6782312,-1572.187,-349.17133,-46680.91,-354.21564,-46687.16,-344.127,-46674.66
0.0010001,-7.8354645,-1423.1445,-353.83316,-46273.613,-358.87744,-46279.902,-348.78888,-46267.324
0.00110011,-7.9777927,-1299.925,-358.4404,-45860.45,-363.48465,-45866.938,-353.39615,-45853.96
0.00120012,-8.107798,-1196.3455,-362.99344,-45441.69,-368.03775,-45448.527,-357.94913,-45434.855
0.00130013,-8.227444,-1108.0518,-367.52353,-45021.324,-372.5678,-45028.305,-362.47925,-45014.344
0.00140014,-8.33826,-1031.8889,-372.0088,-44590.15,-377.05307,-44597.496,-366.9645,-44582.8
0.0015001501,-8.441459,-965.5143,-376.43826,-44166.64,-381.48254,-44174.11,-371.39398,-44159.17
0.00160016,-8.538019,-907.1524,-380.83347,-43733.848,-385.87775,-43741.543,-375.78918,-43726.152
0.00170017,-8.628743,-855.4328,-385.19177,-43291.69,-390.23605,-43299.7,-380.1475,-43283.684
0.0018001801,-8.714294,-809.2807,-389.4969,-42857.414,-394.54117,-42865.527,-384.4526,-42849.3
0.00190019,-8.795231,-767.8414,-393.76498,-42413.95,-398.80923,-42422.25,-388.72073,-42405.65
0.0020002,-8.872023,-730.4267,-397.98114,-41960.004,-403.02542,-41968.664,-392.93686,-41951.344
0.00210021,-8.945072,-696.47614,-402.16632,-41510.133,-407.21057,-41518.926,-397.12207,-41501.34
0.00220022,-9.014727,-665.5289,-406.2785,-41053.98,-411.3228,-41063.094,-401.2342,-41044.867
0.00230023,-9.081286,-637.2022,-410.36707,-40596.598,-415.41135,-40605.87,-405.32278,-40587.324
0.00240024,-9.145013,-611.17596,-414.40152,-40140.953,-419.4458,-40150.36,-409.35724,-40131.547
0.00250025,-9.206136,-587.1799,-418.38586,-39669.926,-423.43018,-39679.65,-413.34155,-39660.203
0.00260026,-9.26486,-564.9847,-422.34024,-39203.05,-427.38452,-39212.895,-417.29596,-39193.207
0.00270027,-9.321363,-544.3942,-426.24557,-38732.785,-431.28986,-38742.76,-421.2013,-38722.81
0.00280028,-9.375809,-525.2399,-430.08765,-38257.984,-435.13196,-38268.184,-425.04333,-38247.785
0.00290029,-9.428338,-507.37604,-433.892,-37780.957,-438.9363,-37791.312,-428.8477,-37770.6
0.0030003001,-9.47908,-490.67578,-437.64883,-37295.484,-442.69315,-37306.035,-432.60452,-37284.934
0.00310031,-9.528152,-475.02856,-441.33557,-36816.28,-446.37994,-36827.047,-436.2912,-36805.516
0.00320032,-9.575661,-460.33737,-445.0001,-36330.863,-450.04446,-36341.74,-439.95572,-36319.99
0.0033003301,-9.621698,-446.51672,-448.61423,-35837.055,-453.65857,-35848.074,-443.5699,-35826.035
0.00340034,-9.666354,-433.4911,-452.17545,-35351.055,-457.21982,-35362.17,-447.13107,-35339.938
0.00350035,-9.709708,-421.19336,-455.67017,-34850.3,-460.7146,-34861.645,-450.62573,-34838.957
0.0036003601,-9.751831,-409.5638,-459.14047,-34354.21,-464.18488,-34365.625,-454.09607,-34342.797
0.00370037,-9.792792,-398.54913,-462.5716,-33856.28,-467.61597,-33867.707,-457.52722,-33844.855
0.00380038,-9.832651,-388.10144,-465.90744,-33352.625,-470.9519,-33364.266,-460.86298,-33340.984
0.0039003901,-9.871465,-378.1778,-469.23294,-32849.414,-474.27737,-32861.082,-464.1885,-32837.746
0.0040004,-9.9092865,-368.7394,-472.48703,-32337.174,-477.5315,-32348.953,-467.44257,-32325.395
0.0041004103,-9.946164,-359.7513,-475.6931,-31833.184,-480.7376,-31845.053,-470.64862,-31821.314
0.00420042,-9.982142,-351.18173,-478.857,-31322.4,-483.9015,-31334.314,-473.8125,-31310.486
0.00430043,-10.017264,-343.00186,-481.9616,-30803.828,-487.0061,-30815.803,-476.9171,-30791.854
