x,f,f_prime,mean,mean_prime,lower,lower_prime,upper,upper_prime
0.5555556,13.804205,74.72387,5.5088816,98.12473,1.1433501,48.3683,9.874413,147.88116
0.55565554,13.811678,74.72854,5.518696,98.19681,1.1526489,48.552788,9.884743,147.84082
0.55575556,13.819152,74.733215,5.5285177,98.267914,1.1619515,48.736927,9.895084,147.7989
0.5558556,13.826626,74.737885,5.53835,98.33807,1.1712599,48.92078,9.90544,147.75537
0.5559556,13.8341,74.74256,5.54819,98.40723,1.180573,49.10423,9.915808,147.71022
0.5560556,13.841575,74.74723,5.558037,98.47542,1.1898885,49.287342,9.926186,147.6635
0.5561556,13.8490505,74.7519,5.56789,98.54263,1.1992068,49.470093,9.936573,147.61517
0.55625564,13.856526,74.75657,5.5777454,98.60881,1.2085238,49.65235,9.946967,147.56528
0.55635566,13.864003,74.76124,5.587612,98.674034,1.2178488,49.83433,9.957376,147.51373
0.5564557,13.87148,74.7659,5.597485,98.738266,1.2271762,50.015926,9.967794,147.4606
0.5565556,13.878957,74.77057,5.607356,98.80143,1.2364984,50.196953,9.978214,147.40591
0.55665565,13.886435,74.77523,5.617242,98.86367,1.2458315,50.37778,9.988652,147.34956
0.55675566,13.893913,74.7799,5.6271334,98.9249,1.255167,50.55819,9.9991,147.2916
0.5568557,13.901392,74.78456,5.6370316,98.98514,1.2645059,50.73824,10.009558,147.23204
0.5569557,13.908871,74.78922,5.6469374,99.04437,1.273849,50.91789,10.020025,147.17085
0.5570557,13.91635,74.793884,5.6568418,99.102554,1.2831879,51.097034,10.030496,147.10808
0.5571557,13.923831,74.798546,5.6667576,99.15976,1.2925339,51.275856,10.040981,147.04367
0.55725574,13.931312,74.8032,5.6766787,99.21594,1.3018823,51.45427,10.051476,146.97762
0.55735576,13.938792,74.80786,5.6866064,99.271126,1.3112345,51.632282,10.061978,146.90997
0.5574557,13.946274,74.81252,5.696529,99.32521,1.3205786,51.809685,10.072479,146.84073
0.55755574,13.953756,74.81718,5.7064667,99.37836,1.3299341,51.986874,10.082999,146.76984
0.55765575,13.961239,74.82183,5.7164097,99.43046,1.339292,52.163616,10.093527,146.6973
0.55775577,13.968721,74.826485,5.7263575,99.48155,1.3486519,52.33996,10.104063,146.62314
0.5578558,13.976205,74.83114,5.736306,99.53157,1.3580098,52.515766,10.114603,146.54738
0.5579558,13.983688,74.83579,5.7462645,99.580605,1.367374,52.691242,10.1251545,146.46997
0.5580558,13.991173,74.84045,5.7562275,99.628586,1.3767405,52.86627,10.135715,146.3909
0.55815583,13.998658,74.84509,5.7661953,99.67555,1.3861084,53.040882,10.146282,146.31023
0.55825585,14.006144,74.84975,5.776168,99.721466,1.3954782,53.215042,10.1568575,146.22789
0.5583558,14.013629,74.85439,5.7861366,99.76633,1.4048429,53.388638,10.167431,146.14401
0.5584558,14.021115,74.85905,5.796118,99.81016,1.414216,53.5619,10.17802,146.05841
0.55855584,14.028602,74.86369,5.806104,99.85295,1.4235921,53.734722,10.188616,145.97118
0.55865586,14.036089,74.86834,5.816089,99.89467,1.4329638,53.907005,10.199215,145.88232
0.5587559,14.043576,74.872986,5.826083,99.93537,1.4423423,54.07893,10.209824,145.79181
0.5588559,14.0510645,74.877625,5.8360815,99.975006,1.4517221,54.25037,10.220441,145.69965
0.5589559,14.058553,74.88227,5.846084,100.01362,1.4611044,54.421394,10.231064,145.60583
0.5590559,14.066042,74.88692,5.856089,100.05114,1.4704862,54.591908,10.241692,145.51038
0.55915594,14.073531,74.891556,5.8660946,100.08761,1.4798665,54.761894,10.252323,145.41333
0.5592559,14.081021,74.896194,5.8761024,100.122986,1.4892464,54.931377,10.262959,145.31459
0.5593559,14.088511,74.90084,5.8861184,100.15735,1.4986324,55.10049,10.273604,145.2142
0.55945593,14.096003,74.90548,5.8961344,100.19063,1.5080161,55.26907,10.284252,145.11218
0.55955595,14.103494,74.91012,5.9061575,100.22285,1.5174046,55.437214,10.29491,145.00848
0.55965596,14.110986,74.91475,5.9161844,100.25399,1.5267949,55.604862,10.305574,144.90312
0.559756,14.118478,74.91939,5.9262133,100.28407,1.5361853,55.772034,10.316241,144.79611
0.559856,14.125971,74.92403,5.9362464,100.31309,1.5455775,55.938736,10.326916,144.68744
0.559956,14.133464,74.92866,5.9462767,100.34101,1.554965,56.10485,10.337588,144.57718
0.56005603,14.140957,74.9333,5.956315,100.367874,1.5643587,56.270554,10.348271,144.4652
0.560156,14.148452,74.93793,5.9663515,100.39366,1.5737491,56.435703,10.358953,144.35162
0.560256,14.155946,74.94256,5.976391,100.41835,1.5831399,56.60032,10.369642,144.23639
0.560356,14.163441,74.94719,5.986436,100.441956,1.5925345,56.764492,10.380337,144.11942
0.56045604,14.170937,74.95182,5.9964848,100.46449,1.6019311,56.928177,10.391039,144.00081
0.56055605,14.178432,74.95645,6.0065346,100.48593,1.6113272,57.09132,10.401742,143.88054
0.5606561,14.185928,74.961075,6.0165863,100.506294,1.6207232,57.253975,10.412449,143.7586
0.5607561,14.193425,74.965706,6.026636,100.52554,1.630116,57.41601,10.423157,143.63507
0.5608561,14.200923,74.97033,6.0366926,100.54372,1.6395135,57.57761,10.433872,143.50983
0.5609561,14.208421,74.97495,6.04675,100.56079,1.648911,57.738693,10.44459,143.38289
0.5610561,14.215919,74.97958,6.056801,100.57675,1.6583004,57.899067,10.455301,143.25444
0.5611561,14.223417,74.98421,6.066861,100.591644,1.6676974,58.05909,10.466024,143.1242
0.5612561,14.230917,74.98882,6.0769243,100.605415,1.6770959,58.218548,10.476753,142.99228
0.5613561,14.238417,74.99345,6.0869875,100.61811,1.6864929,58.377506,10.487482,142.85872
0.56145614,14.245916,74.99807,6.0970526,100.629684,1.6958904,58.535892,10.498215,142.72348
0.56155616,14.253417,75.00269,6.107114,100.64015,1.7052836,58.69367,10.508944,142.58664
0.5616562,14.260918,75.00731,6.117181,100.64952,1.7146807,58.850964,10.519681,142.44807
0.5617562,14.268419,75.011925,6.1272497,100.657776,1.7240787,59.0077,10.53042,142.30785
0.5618562,14.275922,75.01654,6.1373177,100.66492,1.7334747,59.16389,10.541161,142.16594
0.56195617,14.283424,75.021164,6.147379,100.67096,1.7428637,59.319397,10.551894,142.02252
0.5620562,14.290927,75.02578,6.157449,100.67588,1.7522593,59.474472,10.562638,141.87729
0.5621562,14.29843,75.03039,6.1675196,100.67969,1.7616553,59.62898,10.573383,141.7304
0.5622562,14.305934,75.035,6.1775894,100.68237,1.7710485,59.782913,10.58413,141.58183
0.56235623,14.313438,75.03962,6.1876564,100.683945,1.7804394,59.936214,10.594873,141.43167
0.56245625,14.320943,75.04423,6.197728,100.6844,1.7898335,60.089012,10.605623,141.27979
0.56255627,14.328448,75.04884,6.207799,100.68373,1.7992258,60.241222,10.616372,141.12624
0.5626563,14.335954,75.05345,6.2178693,100.68193,1.8086166,60.392853,10.627122,140.97101
0.5627563,14.34346,75.05806,6.2279406,100.679,1.8180084,60.54389,10.637873,140.81412
0.56285626,14.350966,75.06267,6.238001,100.67496,1.8273888,60.694218,10.648613,140.6557
0.5629563,14.358474,75.067276,6.2480707,100.669785,1.8367772,60.844086,10.659365,140.49548
0.5630563,14.365981,75.071884,6.25814,100.663475,1.8461647,60.99336,10.670115,140.33359
0.5631563,14.373488,75.076485,6.2682047,100.656044,1.8555479,61.141968,10.680861,140.17012
0.5632563,14.380997,75.08109,6.2782717,100.64748,1.8649325,61.29005,10.69161,140.0049
0.56335634,14.388506,75.08569,6.2883387,100.63777,1.8743162,61.437508,10.702361,139.83804
0.56345636,14.396015,75.0903,6.2984047,100.62694,1.8836989,61.584396,10.71311,139.66948
0.5635564,14.403525,75.0949,6.308469,100.614975,1.8930798,61.730667,10.723858,139.49928
0.5636564,14.411036,75.0995,6.318528,100.60185,1.9024558,61.876225,10.7346,139.32748
0.56375635,14.418546,75.1041,6.3285866,100.58763,1.9118304,62.02122,10.745342,139.15404
0.56385636,14.426057,75.1087,6.338647,100.57224,1.9212065,62.16564,10.756087,138.97885
0.5639564,14.433569,75.1133,6.3487015,100.555725,1.9305773,62.309372,10.766826,138.80208
0.5640564,14.441081,75.1179,6.358759,100.53804,1.9399505,62.452526,10.777567,138.62355
0.5641564,14.448593,75.12249,6.3688145,100.519226,1.9493217,62.595078,10.788307,138.44337
0.5642564,14.456106,75.12709,6.3788676,100.49927,1.9586906,62.73698,10.799045,138.26155
0.56435645,14.46362,75.13168,6.3889194,100.47815,1.9680581,62.878246,10.80978,138.07805
0.56445646,14.471134,75.13628,6.398964,100.455894,1.9774189,63.0188,10.820509,137.89299
0.5645565,14.478648,75.14087,6.409011,100.43248,1.9867821,63.15879,10.83124,137.70618
0.56465644,14.486163,75.14546,6.419051,100.407936,1.9961395,63.298077,10.841963,137.51779
0.56475645,14.493678,75.150055,6.4290895,100.38223,2.0054946,63.436707,10.852684,137.32776
0.56485647,14.501194,75.15465,6.439128,100.35536,2.0148501,63.57473,10.863405,137.13599
0.5649565,14.50871,75.15923,6.4491644,100.327354,2.0242038,63.712143,10.874125,136.94257
0.5650565,14.516227,75.163826,6.459198,100.29818,2.033555,63.84888,10.884841,136.74748
0.5651565,14.523745,75.16841,6.4692297,100.26785,2.0429053,63.98495,10.895554,136.55075
0.56525654,14.531261,75.173,6.4792523,100.2364,2.052247,64.12033,10.906258,136.35246
0.56535655,14.53878,75.17758,6.489277,100.203735,2.0615911,64.255035,10.916963,136.15244
0.56545657,14.546298,75.18217,6.499298,100.16994,2.0709324,64.38912,10.927664,135.95074
0.5655565,14.553817,75.18675,6.509308,100.135025,2.0802631,64.52242,10.938353,135.74762
0.56565654,14.5613365,75.19134,6.5193224,100.09891,2.0895991,64.65517,10.949045,135.54265
0.56575656,14.568856,75.195915,6.529333,100.06162,2.0989323,64.78722,10.959734,135.33603
0.5658566,14.576377,75.2005,6.53934,100.023186,2.108262,64.918594,10.970418,135.12778
0.5659566,14.583898,75.20508,6.549342,99.983574,2.117588,65.04927,10.981096,134.91788
